Node1	Node2	Pvalue	Cor	CorrType
00fae520fc99f4b43a079be78714514a_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.012	0.2331	Positive
8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.3768	Positive
c861b1ec2e390a9906dec7ee827ab766_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.008	0.2447	Positive
55e2f6614bc214f35d8745edeee16727_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.366	Positive
61781934a20bd3368b0737d605f29468_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.012	0.2251	Positive
11d0b6aaf61245ed190220edb6779865_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.2884	Positive
334a4708e1cedc4f04c44f0f47d2f29e_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.012	0.2515	Positive
943689dc4b1c713707c1520019c4e91d_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.035	0.1744	Positive
c4e15ee4c6a6debb8ef308d21e737e8e_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.005	0.2518	Positive
a4830ec2beeeeaef48f6d7f401df4241_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.035	-0.2006	Negative
12907f7fde00bb40c358a652d79ffcb6_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.027	-0.1971	Negative
89206af4589b68a36b3313e1be7c6448_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	-0.311	Negative
9a06988e426d7ef4663c568dcd331ca0_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.004	-0.262	Negative
6dec4a7642385d3256e7c0ab2c05366d_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.013	-0.2335	Negative
5743cd46a67f26fc2a0a910a35f1b12f_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.002	-0.2436	Negative
55d3ffaf20a40a432de7989e6d6d5a00_fungi	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.008	-0.219	Negative
