"Cor","CorrType","EdgeBetweenness","interaction","name","Pvalue","selected","shared interaction","shared name"
"0.2331","Positive","12.230982095434427","interacts with","00fae520fc99f4b43a079be78714514a_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.012","false","interacts with","00fae520fc99f4b43a079be78714514a_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.3768","Positive","12.315376928552693","interacts with","8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2447","Positive","9.164728746574587","interacts with","c861b1ec2e390a9906dec7ee827ab766_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.008","false","interacts with","c861b1ec2e390a9906dec7ee827ab766_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.366","Positive","7.223870210071769","interacts with","55e2f6614bc214f35d8745edeee16727_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","55e2f6614bc214f35d8745edeee16727_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2251","Positive","11.479268836213429","interacts with","61781934a20bd3368b0737d605f29468_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.012","false","interacts with","61781934a20bd3368b0737d605f29468_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2884","Positive","6.214876855644978","interacts with","11d0b6aaf61245ed190220edb6779865_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","11d0b6aaf61245ed190220edb6779865_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2515","Positive","8.396627561079894","interacts with","334a4708e1cedc4f04c44f0f47d2f29e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.012","false","interacts with","334a4708e1cedc4f04c44f0f47d2f29e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1744","Positive","17.222762753778433","interacts with","943689dc4b1c713707c1520019c4e91d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.035","false","interacts with","943689dc4b1c713707c1520019c4e91d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2518","Positive","20.231950291595194","interacts with","c4e15ee4c6a6debb8ef308d21e737e8e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.005","false","interacts with","c4e15ee4c6a6debb8ef308d21e737e8e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2006","Negative","13.886836290508493","interacts with","a4830ec2beeeeaef48f6d7f401df4241_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.035","false","interacts with","a4830ec2beeeeaef48f6d7f401df4241_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
