#OTU ID	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	c2ff2968fc5eb368695f90ee12c20b86_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	871638cacece191a60d3f3fe9407c592_bacteria	c861b1ec2e390a9906dec7ee827ab766_bacteria	0a78918b318c9a666440b19941b2c94e_bacteria	55e2f6614bc214f35d8745edeee16727_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	61781934a20bd3368b0737d605f29468_bacteria	41e3305635db95437d26c71fbb3e9886_bacteria	11d0b6aaf61245ed190220edb6779865_bacteria	0c0605a3c4b75dfc31857a9167487df1_bacteria	5d45291972b34cd7f9c4cd55ca8a95ea_bacteria	334a4708e1cedc4f04c44f0f47d2f29e_bacteria	943689dc4b1c713707c1520019c4e91d_bacteria	162bf54549080b290d1ec8b0e6afbc1b_bacteria	d0c26a44a7a8b6ee4ba716861fc44da2_bacteria	c4e15ee4c6a6debb8ef308d21e737e8e_bacteria	d48f4cda1feee6851d5bcf2d520066b9_bacteria	0cb8dc0c56bd0e3524dba46d210b26c9_bacteria	a11e7d00f7f42af59b01f4684a52fa9d_bacteria	613010f6345bf00e94847229463fe089_bacteria	10608cb99e86b1430b6507d8fcb500e6_bacteria	1e2dd0b096801694733a077125a20228_bacteria	ad1bc6953fe661253a1301a0dffd0535_bacteria	30915dab539abea2a31d47ae7d90792e_bacteria	30432de9f6dd4c74cc5042a8d0ece70f_bacteria	f3f92c383527fe95a92d58291e300654_bacteria	20b02741232f1c067a84cab7b52256ee_bacteria	fb613c9c4a86c7589b321ffb051a485c_bacteria	ce8fe047f6c78ee3610cc355efd59beb_bacteria	eb9cdec519d0a08dcfb47dfac31c9b82_bacteria	cfad561ce0a5f1aaddf0970d204a1e35_bacteria	61ee56e0408347b925580754c0228fac_bacteria	9de1b23e9381d3596dec0fd5a5bfc900_bacteria	958e14f4806af8a06db61870561138f7_bacteria	44753606b01dd5d899e0c372598c574c_bacteria	54693a9cf3c76c547dc9b56b6e9b266f_bacteria	ed6fcc3e0305e5fa551e1c67f33c1226_bacteria	cb7f33c9ab6b6cc48e850692a6e57201_bacteria	87175665ea2f0ba525a6c4bce5e2d7f2_bacteria	a4496dfdf6cfe898e6e51cec293e31ef_bacteria	6b9ca3313d241ab32629d7d007bfa458_bacteria	c256985cf7f385fa0e158aac9692f64d_bacteria	0fcb5a5bdacde5be7714f3ec7f1658cb_bacteria	9fc26e6596f0b0189c6b268cc4d8d67b_fungi	a4830ec2beeeeaef48f6d7f401df4241_fungi	12907f7fde00bb40c358a652d79ffcb6_fungi	eaa0ba9ff4398edf205048df9a36f578_fungi	89206af4589b68a36b3313e1be7c6448_fungi	e02440bc2cf2fbd51ab6c6a48c297786_fungi	d7a05ca6b0cf4959a1d5af8842fb78fa_fungi	9a06988e426d7ef4663c568dcd331ca0_fungi	16010d640ae1f9ef8b46d9778d31166d_fungi	6dec4a7642385d3256e7c0ab2c05366d_fungi	5743cd46a67f26fc2a0a910a35f1b12f_fungi	d4ced3fcf757696111ad371371ff4cce_fungi	007761694cceb108c141cce8750b23b5_fungi	55d3ffaf20a40a432de7989e6d6d5a00_fungi	c0a6013edcd750f053a34cc2e955055c_fungi	25f16fb9e13dc11d9cdb2563441d93ea_fungi	84b78558c3c317566a13f29ab950da23_fungi	4745af0659fd8962bab4c6f134456248_fungi	45072f0f90af585d84d9e8b285570885_fungi	cd6040e6b124b405e0a57b6b2bc182a8_fungi	b5b89cca5a0cb0c01db814cb6f693f9f_fungi	6f919188220b0c82be4439bb63dd189e_fungi	8da1ea508fd29598a72e6a69c9fb5bad_fungi	5f279c746c8e0dc1b9305887f0cbae5a_fungi	2b58ac3373c047a1eebbf7a75e2e0552_fungi	39d163834966cd25a456abec8a6fb0a4_oomycete	cc72eaa86c2be573136acdf59cda9fc3_oomycete	0f9788d4711e28f5164af206bb783e13_oomycete	f797cf2765402dd3d1f72f7838c4a54c_oomycete	8d7bfbf1d9cc089639fe484763c3f188_oomycete	394dace7cd674dc9355c4f64bfada83f_eukaryote	5a7fabdfc2b1915ca336712e300eb727_eukaryote	99318de41dd49424cad9bf4501ab86ce_eukaryote	1f97c28f91d9a257362352f7c2958eb5_eukaryote	d9e763753ea6a20c2a574df095f60580_eukaryote	2a50651b2cbc9fc60afae81923de86d5_eukaryote	cdfb9490b3e043a9832cbace39b2d3fb_eukaryote	2a260e6160f0ac4a2e115072d5b0cd0f_eukaryote	487c6b41204a1730dbfcf55f8b8e3dc1_eukaryote	0b01e4d6558506012d0e1eaf493a5ded_eukaryote	3f795849e5ab98c40f875a580004f9f7_eukaryote	acc6f82c660def2e2f383dfb4f075933_eukaryote	6296e399d6b6f58b22cb3ffc96a1bcfe_eukaryote	850f9456f23d337e109baafd956b54d6_eukaryote
6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	1.0000	0.2577	0.0120	0.0010	0.3137	0.1888	0.0080	0.1179	0.0010	0.2008	0.0120	0.3966	0.0010	0.0859	0.7802	0.0120	0.0350	0.5984	0.4915	0.0050	0.6324	0.3127	0.4306	0.9391	0.8871	0.9740	0.1269	0.7742	0.4915	0.0659	0.6454	0.9770	0.2358	0.2847	0.1489	0.4955	0.2797	0.4845	0.8392	0.6224	0.5025	0.6464	0.2028	0.2777	0.8422	0.8392	0.4945	0.3606	0.0350	0.0270	0.8422	0.0010	0.2737	0.2677	0.0040	0.2567	0.0130	0.0020	0.1059	0.2048	0.0080	0.0370	0.2837	0.1738	0.0569	0.1429	0.9381	0.0020	0.0420	0.8751	0.1548	0.5674	0.1339	0.0040	0.1069	0.6234	0.3427	0.9950	0.0050	0.2118	0.7063	0.6314	0.9471	0.3407	0.0689	0.2018	0.8931	0.3117	0.1778	0.6014	0.2368
c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.2577	1.0000	0.1558	0.3506	0.4416	0.8362	0.1419	0.0579	0.2408	0.1788	0.0460	0.2877	0.6494	0.3107	0.4006	0.9491	0.9481	0.8292	0.0709	0.8462	0.0589	0.2747	0.4905	0.9161	0.5475	0.3546	0.4655	0.4595	0.9670	0.9161	0.4805	0.4376	0.1139	0.0240	0.5694	1.0000	0.4515	0.4266	0.8452	0.1638	0.5834	0.6224	0.3417	0.4865	0.4236	0.0140	0.8102	0.0200	0.4106	0.2008	0.1708	0.8991	0.4306	0.0539	0.8681	0.4665	0.2478	0.1409	0.1309	0.6484	0.0789	0.4745	0.9770	0.7582	0.0050	0.0579	0.4795	0.2677	0.4565	0.6853	0.8312	0.5215	0.2637	0.0999	0.4036	0.2917	0.8811	0.7393	0.1888	0.0160	0.0480	0.1339	0.7323	0.6304	0.1349	0.9600	0.5754	0.5095	0.0490	0.6284	0.8721
00fae520fc99f4b43a079be78714514a_bacteria	0.0120	0.1558	1.0000	0.6004	0.6513	0.4565	0.0010	0.0120	0.0010	0.0010	0.0679	0.5814	0.0100	0.0060	0.1918	0.0889	0.3177	0.6314	0.8182	0.6823	0.1548	0.0010	0.8032	0.1479	0.0370	0.8192	0.1409	0.1069	0.0030	0.5405	0.0020	0.8372	0.2917	0.4845	0.6074	0.1479	0.4635	0.3327	0.0100	0.4166	0.6374	0.5984	0.1978	0.3826	0.7942	0.9201	0.0210	0.1668	0.3307	0.2587	0.1239	0.0020	0.8901	0.2507	0.0330	0.5674	0.1459	0.0230	0.0519	0.1069	0.0939	0.0080	0.0050	0.8941	0.0689	0.6354	0.1568	0.0080	0.1728	0.9211	0.0050	0.8911	0.8781	0.8981	0.7622	0.6733	0.9840	0.9241	0.3896	0.9550	0.0519	0.9101	0.4865	0.9441	0.3007	0.6034	0.9311	0.1708	0.2887	0.9231	0.0200
8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.0010	0.3506	0.6004	1.0000	0.0609	0.1379	0.0060	0.1668	0.0110	0.4056	0.0060	0.1329	0.0010	0.2328	0.1159	0.1169	0.0220	0.8831	0.1628	0.0010	0.3506	0.0659	0.1848	0.5245	0.7023	0.3027	0.3526	0.7263	0.3926	0.0490	0.1918	0.0739	0.1628	0.1518	0.1239	0.4585	0.7013	0.2048	0.3916	0.9211	0.0729	0.9680	0.8032	0.7822	0.1728	0.2498	0.6244	0.7403	0.2637	0.7143	0.6613	0.0030	0.3147	0.4376	0.0120	0.3287	0.0310	0.1918	0.2278	0.0280	0.0290	0.0410	0.0460	0.9560	0.1508	0.8611	0.6224	0.0340	0.1718	0.3117	0.0190	0.6264	0.6304	0.1608	0.1618	0.0170	0.3606	0.2388	0.2737	0.9051	0.9960	0.6404	0.7403	0.2158	0.1129	0.1489	0.6523	0.0789	0.7073	0.0370	0.2967
6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.3137	0.4416	0.6513	0.0609	1.0000	0.0789	0.5345	0.2507	0.2168	0.0390	0.2617	0.7542	0.9441	0.9700	0.8651	0.4505	0.0050	0.0010	0.0010	0.0020	0.0150	0.0529	0.5814	0.0010	0.2637	0.1528	0.9381	0.9301	0.1499	0.0460	0.7063	0.0759	0.1738	0.0020	0.0010	0.5435	0.0020	0.0020	0.1638	0.2108	0.0020	0.0010	0.5255	0.0849	0.0320	0.0030	0.1429	0.0460	0.1259	0.3706	0.3167	0.4605	0.0709	0.2118	0.2527	0.6164	0.6633	0.0080	0.0370	0.4326	0.4525	0.2527	0.0929	0.1768	0.0699	0.2028	0.9710	0.1528	0.0310	0.2517	0.1698	0.5045	0.9700	0.9740	0.0739	0.9670	0.0010	0.2807	0.3956	0.0559	0.0030	0.0070	0.1189	0.8032	0.9461	0.0509	0.5754	0.1648	0.0270	0.9630	0.2667
871638cacece191a60d3f3fe9407c592_bacteria	0.1888	0.8362	0.4565	0.1379	0.0789	1.0000	0.2138	0.5654	0.0579	0.4705	0.6424	0.8112	0.0779	0.0939	0.9820	0.1009	0.4416	0.1459	1.0000	0.1119	0.4056	0.8921	0.2168	0.0999	0.2537	0.0849	0.0340	0.0639	0.0370	0.1838	0.2957	0.4885	0.1618	0.0310	0.6424	0.4575	0.8122	0.7622	0.3896	0.5664	0.0699	0.5674	0.0519	0.4645	0.7143	0.7093	0.0979	0.2787	0.9580	0.2278	0.1998	0.4975	0.2647	0.1419	0.5355	0.3267	0.8621	0.0170	0.1189	0.6963	0.3067	0.8721	0.1748	0.2138	0.4016	0.3516	0.4665	0.7652	0.5954	0.2987	0.7942	0.7852	0.2927	0.4755	0.2028	0.1429	0.8691	0.6523	0.1399	0.2997	0.3856	0.9840	0.3926	0.3087	0.3347	0.9431	0.2657	0.1269	0.7443	0.5554	0.7822
c861b1ec2e390a9906dec7ee827ab766_bacteria	0.0080	0.1419	0.0010	0.0060	0.5345	0.2138	1.0000	0.0380	0.0010	0.0010	0.0250	0.3257	0.0010	0.0010	0.6863	0.0010	0.4995	0.3127	0.6274	0.1558	0.1598	0.0010	0.9201	0.1059	0.2278	0.5145	0.1259	0.5195	0.0240	0.3307	0.3816	0.2458	0.0340	0.4865	0.7542	0.5694	0.9091	0.3207	0.0589	0.4056	0.3217	0.6803	0.4446	0.0649	0.7153	0.7443	0.0050	0.0170	0.2328	0.4865	0.0989	0.0010	0.1049	0.4206	0.0400	0.6743	0.2547	0.0130	0.1329	0.0679	0.0220	0.0010	0.0030	0.7562	0.0270	0.1189	0.9021	0.0350	0.0290	0.0490	0.0060	0.0949	0.1369	0.4376	0.9121	0.6613	0.9131	0.0470	0.1768	0.7892	0.3806	0.7243	0.4615	0.5245	0.0400	0.8541	0.8412	0.8442	0.8931	0.5285	0.0420
0a78918b318c9a666440b19941b2c94e_bacteria	0.1179	0.0579	0.0120	0.1668	0.2507	0.5654	0.0380	1.0000	0.3786	0.6513	0.3876	0.0509	0.6374	0.2717	0.0120	0.6543	0.1858	0.4835	0.1598	0.8881	0.2078	0.3187	0.9880	0.7073	0.5175	0.2228	0.5534	0.7572	0.2288	0.9221	0.0709	0.0040	0.1778	0.8452	0.5255	0.9221	0.6224	0.2018	0.1928	0.3267	0.8701	0.8541	0.6663	0.6673	0.0460	0.8861	0.2398	0.0949	0.3646	0.0210	0.5824	0.9111	0.6993	0.6703	0.4575	0.1099	0.1858	0.0410	0.1528	0.4206	0.0390	0.9600	0.9211	0.7612	0.0060	0.3027	0.2517	0.2008	0.6224	0.2897	0.4745	0.0010	0.3047	0.0030	0.0709	0.6623	0.6573	0.3506	0.0030	0.1908	0.2258	0.5704	0.1309	0.1169	0.0639	0.0659	0.2478	0.0430	0.2687	0.0060	0.3936
55e2f6614bc214f35d8745edeee16727_bacteria	0.0010	0.2408	0.0010	0.0110	0.2168	0.0579	0.0010	0.3786	1.0000	0.0010	0.0070	0.3087	0.0010	0.0060	0.9970	0.0020	0.1349	0.3377	0.3566	0.3786	0.8052	0.0060	0.3287	0.1299	0.5255	0.6813	0.0190	0.1828	0.0010	0.5255	0.3786	0.3846	0.0060	0.3367	0.1948	0.7013	0.7632	0.1968	0.2837	0.3057	0.0979	0.9730	0.5315	0.9381	0.7962	0.2178	0.0360	0.0579	0.0809	0.1359	0.1309	0.0010	0.1119	0.0190	0.0020	0.1269	0.0170	0.0080	0.0140	0.0430	0.0789	0.0020	0.0020	0.9740	0.0290	0.2098	0.5864	0.0100	0.0060	0.3706	0.0010	0.9081	0.4206	0.1349	0.5854	0.9540	0.3706	0.4835	0.0829	0.1988	0.8222	0.3616	0.5285	0.6783	0.3796	0.7912	0.5654	0.6464	0.7253	0.9550	0.2178
5d0942009326032f72c94ca27dc2015d_bacteria	0.2008	0.1788	0.0010	0.4056	0.0390	0.4705	0.0010	0.6513	0.0010	1.0000	0.1688	0.4266	0.4026	0.0120	0.3127	0.0010	0.5874	0.0859	0.4316	0.7822	0.9151	0.0030	0.0989	0.0100	0.1508	0.6643	0.5614	0.5335	0.0200	0.0170	0.2428	0.4146	0.0040	0.4785	0.8442	0.0070	0.4635	0.2647	0.0010	0.1608	0.3786	0.1399	0.0380	0.0190	0.2557	0.7053	0.0080	0.0669	0.3616	0.5864	0.6783	0.0010	0.7093	0.7133	0.0180	0.1359	0.3147	0.0250	0.0340	0.3576	0.0759	0.0040	0.1409	0.8681	0.0539	0.6164	0.7423	0.0180	0.0200	0.4995	0.0040	0.5485	0.9361	0.0769	0.0599	0.4366	0.1668	0.3217	0.4785	0.8492	0.0509	0.4266	0.7712	0.5564	0.0619	0.3586	0.2677	0.4845	0.4515	0.9750	0.0949
61781934a20bd3368b0737d605f29468_bacteria	0.0120	0.0460	0.0679	0.0060	0.2617	0.6424	0.0250	0.3876	0.0070	0.1688	1.0000	0.0120	0.0010	0.0020	0.0889	0.0020	0.0140	0.3936	0.0010	0.2767	0.2028	0.1558	0.2258	0.3916	0.8531	0.7293	0.0010	0.0050	0.0030	0.7722	0.1319	0.8492	0.0040	0.0689	0.3117	0.4436	0.2278	0.1728	0.0779	0.9081	0.2807	0.0839	0.9261	0.0480	0.9940	0.1898	0.0020	0.1938	0.1229	0.1039	0.0589	0.0210	0.0250	0.5025	0.0280	0.2008	0.1029	0.0010	0.0180	0.7033	0.1079	0.0110	0.0040	0.0719	0.0490	0.0340	0.4316	0.0020	0.0010	0.2887	0.0010	0.5554	0.1668	0.3696	0.3027	0.4486	0.2228	0.2088	0.0539	0.3906	0.3736	0.0010	0.0679	0.7373	0.5764	0.5395	1.0000	0.2108	0.6773	0.0539	0.9311
41e3305635db95437d26c71fbb3e9886_bacteria	0.3966	0.2877	0.5814	0.1329	0.7542	0.8112	0.3257	0.0509	0.3087	0.4266	0.0120	1.0000	0.3756	0.0020	0.8781	0.0030	0.7353	0.2507	0.0310	0.7443	0.2817	0.7473	0.3017	0.0020	0.1239	0.0250	0.0549	0.1738	0.0150	0.3706	0.3906	0.0260	0.6903	0.3886	0.8961	0.6743	0.9141	0.2428	0.9131	0.9431	0.7353	0.2318	0.2318	0.1948	0.8501	0.2667	0.3017	0.1698	0.6503	0.0949	0.2937	0.5974	0.4496	0.8372	0.6174	0.3876	0.6284	0.1479	0.0120	0.9181	0.7762	0.4316	0.6753	0.4935	0.9890	0.5754	0.6284	0.8012	0.1159	0.7822	0.2118	0.3277	0.4565	0.9201	0.2378	0.0210	0.7842	0.2677	0.0330	0.3207	0.2088	0.2218	0.2807	0.5275	0.1678	0.8751	0.3986	0.5804	0.6244	0.7592	0.7692
