Node1	Node2	Pvalue	Cor	CorrType
c2ff2968fc5eb368695f90ee12c20b86_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.03	0.19	Positive
8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.6298	Positive
6025a8d68dfe9ed561f3501b70ef5274_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.3454	Positive
c861b1ec2e390a9906dec7ee827ab766_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.4392	Positive
55e2f6614bc214f35d8745edeee16727_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.5087	Positive
61781934a20bd3368b0737d605f29468_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.3697	Positive
11d0b6aaf61245ed190220edb6779865_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.4488	Positive
5d45291972b34cd7f9c4cd55ca8a95ea_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	-0.2653	Negative
943689dc4b1c713707c1520019c4e91d_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.3038	Positive
c4e15ee4c6a6debb8ef308d21e737e8e_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.003	0.2766	Positive
d48f4cda1feee6851d5bcf2d520066b9_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	-0.3634	Negative
0cb8dc0c56bd0e3524dba46d210b26c9_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	-0.3262	Negative
a11e7d00f7f42af59b01f4684a52fa9d_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.012	-0.1949	Negative
410eb181ab34fd951e2c531978b6faae_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	-0.4454	Negative
e8685172a54f1bfdffcce32273cb42f3_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.3226	Positive
30915dab539abea2a31d47ae7d90792e_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.005	0.2088	Positive
064cd789fb8e827f4ab320316d71e12a_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.3522	Positive
20b02741232f1c067a84cab7b52256ee_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	-0.2624	Negative
fb613c9c4a86c7589b321ffb051a485c_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.004	-0.2244	Negative
