"Cor","CorrType","EdgeBetweenness","interaction","name","Pvalue","selected","shared interaction","shared name"
"0.19","Positive","19.918227948163953","interacts with","c2ff2968fc5eb368695f90ee12c20b86_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.03","false","interacts with","c2ff2968fc5eb368695f90ee12c20b86_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.6298","Positive","13.971490691353075","interacts with","8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.3454","Positive","9.06692904639909","interacts with","6025a8d68dfe9ed561f3501b70ef5274_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","6025a8d68dfe9ed561f3501b70ef5274_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.4392","Positive","20.57847482639088","interacts with","c861b1ec2e390a9906dec7ee827ab766_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","c861b1ec2e390a9906dec7ee827ab766_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.5087","Positive","13.429273439490588","interacts with","55e2f6614bc214f35d8745edeee16727_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","55e2f6614bc214f35d8745edeee16727_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.3697","Positive","14.372643807140921","interacts with","61781934a20bd3368b0737d605f29468_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","61781934a20bd3368b0737d605f29468_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.4488","Positive","10.541844933418512","interacts with","11d0b6aaf61245ed190220edb6779865_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","11d0b6aaf61245ed190220edb6779865_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2653","Negative","10.045688926104763","interacts with","5d45291972b34cd7f9c4cd55ca8a95ea_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","5d45291972b34cd7f9c4cd55ca8a95ea_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.3038","Positive","11.906260708241495","interacts with","943689dc4b1c713707c1520019c4e91d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","943689dc4b1c713707c1520019c4e91d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2766","Positive","10.533108013331226","interacts with","c4e15ee4c6a6debb8ef308d21e737e8e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.003","false","interacts with","c4e15ee4c6a6debb8ef308d21e737e8e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.3634","Negative","8.296901339798389","interacts with","d48f4cda1feee6851d5bcf2d520066b9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","d48f4cda1feee6851d5bcf2d520066b9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.3262","Negative","8.891529780617379","interacts with","0cb8dc0c56bd0e3524dba46d210b26c9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","0cb8dc0c56bd0e3524dba46d210b26c9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.1949","Negative","14.387735004163973","interacts with","a11e7d00f7f42af59b01f4684a52fa9d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.012","false","interacts with","a11e7d00f7f42af59b01f4684a52fa9d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.4454","Negative","7.129115364132523","interacts with","410eb181ab34fd951e2c531978b6faae_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","410eb181ab34fd951e2c531978b6faae_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.3226","Positive","9.032439942391575","interacts with","e8685172a54f1bfdffcce32273cb42f3_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","e8685172a54f1bfdffcce32273cb42f3_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2088","Positive","9.453175337055871","interacts with","30915dab539abea2a31d47ae7d90792e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.005","false","interacts with","30915dab539abea2a31d47ae7d90792e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.3522","Positive","9.851433926446488","interacts with","064cd789fb8e827f4ab320316d71e12a_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","064cd789fb8e827f4ab320316d71e12a_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2624","Negative","13.137719944515082","interacts with","20b02741232f1c067a84cab7b52256ee_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","20b02741232f1c067a84cab7b52256ee_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2244","Negative","9.459868088360096","interacts with","fb613c9c4a86c7589b321ffb051a485c_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.004","false","interacts with","fb613c9c4a86c7589b321ffb051a485c_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2488","Positive","9.51789566945138","interacts with","cfad561ce0a5f1aaddf0970d204a1e35_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.003","false","interacts with","cfad561ce0a5f1aaddf0970d204a1e35_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1594","Positive","18.594142237558994","interacts with","61ee56e0408347b925580754c0228fac_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.014","false","interacts with","61ee56e0408347b925580754c0228fac_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2425","Negative","11.268830133826107","interacts with","f4b9d485eddb4c75564e197d92e91abd_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.005","false","interacts with","f4b9d485eddb4c75564e197d92e91abd_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2387","Positive","10.474946832654918","interacts with","520fe6acd695f8e09998c6746855e420_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.002","false","interacts with","520fe6acd695f8e09998c6746855e420_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2503","Positive","9.87796454686491","interacts with","3ade6fe2d83cee514a202e7c8237dc14_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.002","false","interacts with","3ade6fe2d83cee514a202e7c8237dc14_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1855","Positive","9.469092477501777","interacts with","eb434ae05f7cf08515f5a9eedc7b77b9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.02","false","interacts with","eb434ae05f7cf08515f5a9eedc7b77b9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
