Cor,CorrType,EdgeBetweenness,interaction,Pvalue,selected,shared interaction,shared name,partner1,partner2,Source,Target
0.19,Positive,19.918227948163956,interacts with,0.03,False,interacts with,c2ff2968fc5eb368695f90ee12c20b86_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,c2ff2968fc5eb368695f90ee12c20b86_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0001,0002
0.6298,Positive,13.971490691353075,interacts with,0.001,False,interacts with,8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0003,0002
0.3454,Positive,9.06692904639909,interacts with,0.001,False,interacts with,6025a8d68dfe9ed561f3501b70ef5274_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,6025a8d68dfe9ed561f3501b70ef5274_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0004,0002
0.4392,Positive,20.57847482639088,interacts with,0.001,False,interacts with,c861b1ec2e390a9906dec7ee827ab766_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,c861b1ec2e390a9906dec7ee827ab766_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0005,0002
0.5087,Positive,13.429273439490588,interacts with,0.001,False,interacts with,55e2f6614bc214f35d8745edeee16727_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,55e2f6614bc214f35d8745edeee16727_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0006,0002
0.3697,Positive,14.37264380714092,interacts with,0.001,False,interacts with,61781934a20bd3368b0737d605f29468_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,61781934a20bd3368b0737d605f29468_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0007,0002
0.4488,Positive,10.541844933418512,interacts with,0.001,False,interacts with,11d0b6aaf61245ed190220edb6779865_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,11d0b6aaf61245ed190220edb6779865_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0008,0002
-0.2653,Negative,10.045688926104765,interacts with,0.001,False,interacts with,5d45291972b34cd7f9c4cd55ca8a95ea_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,5d45291972b34cd7f9c4cd55ca8a95ea_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0009,0002
0.3038,Positive,11.906260708241495,interacts with,0.001,False,interacts with,943689dc4b1c713707c1520019c4e91d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,943689dc4b1c713707c1520019c4e91d_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0010,0002
0.2766,Positive,10.533108013331226,interacts with,0.003,False,interacts with,c4e15ee4c6a6debb8ef308d21e737e8e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,c4e15ee4c6a6debb8ef308d21e737e8e_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0011,0002
-0.3634,Negative,8.296901339798389,interacts with,0.001,False,interacts with,d48f4cda1feee6851d5bcf2d520066b9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,d48f4cda1feee6851d5bcf2d520066b9_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0012,0002
-0.3262,Negative,8.891529780617379,interacts with,0.001,False,interacts with,0cb8dc0c56bd0e3524dba46d210b26c9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0cb8dc0c56bd0e3524dba46d210b26c9_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0013,0002
-0.1949,Negative,14.387735004163972,interacts with,0.012,False,interacts with,a11e7d00f7f42af59b01f4684a52fa9d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,a11e7d00f7f42af59b01f4684a52fa9d_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0014,0002
-0.4454,Negative,7.129115364132523,interacts with,0.001,False,interacts with,410eb181ab34fd951e2c531978b6faae_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,410eb181ab34fd951e2c531978b6faae_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0015,0002
0.3226,Positive,9.032439942391576,interacts with,0.001,False,interacts with,e8685172a54f1bfdffcce32273cb42f3_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,e8685172a54f1bfdffcce32273cb42f3_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0016,0002
0.2088,Positive,9.453175337055873,interacts with,0.005,False,interacts with,30915dab539abea2a31d47ae7d90792e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,30915dab539abea2a31d47ae7d90792e_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0017,0002
0.3522,Positive,9.851433926446488,interacts with,0.001,False,interacts with,064cd789fb8e827f4ab320316d71e12a_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,064cd789fb8e827f4ab320316d71e12a_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0018,0002
-0.2624,Negative,13.137719944515082,interacts with,0.001,False,interacts with,20b02741232f1c067a84cab7b52256ee_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,20b02741232f1c067a84cab7b52256ee_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0019,0002
-0.2244,Negative,9.459868088360096,interacts with,0.004,False,interacts with,fb613c9c4a86c7589b321ffb051a485c_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,fb613c9c4a86c7589b321ffb051a485c_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0020,0002
0.2488,Positive,9.51789566945138,interacts with,0.003,False,interacts with,cfad561ce0a5f1aaddf0970d204a1e35_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,cfad561ce0a5f1aaddf0970d204a1e35_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0021,0002
0.1594,Positive,18.594142237558994,interacts with,0.014,False,interacts with,61ee56e0408347b925580754c0228fac_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,61ee56e0408347b925580754c0228fac_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0022,0002
-0.2425,Negative,11.268830133826109,interacts with,0.005,False,interacts with,f4b9d485eddb4c75564e197d92e91abd_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,f4b9d485eddb4c75564e197d92e91abd_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0023,0002
0.2387,Positive,10.474946832654918,interacts with,0.002,False,interacts with,520fe6acd695f8e09998c6746855e420_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,520fe6acd695f8e09998c6746855e420_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0024,0002
0.2503,Positive,9.87796454686491,interacts with,0.002,False,interacts with,3ade6fe2d83cee514a202e7c8237dc14_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,3ade6fe2d83cee514a202e7c8237dc14_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0025,0002
0.1855,Positive,9.469092477501777,interacts with,0.02,False,interacts with,eb434ae05f7cf08515f5a9eedc7b77b9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,eb434ae05f7cf08515f5a9eedc7b77b9_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0026,0002
0.1781,Positive,15.837090889178778,interacts with,0.026,False,interacts with,a596ae48f107278dfad5dc9a569a633f_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,a596ae48f107278dfad5dc9a569a633f_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0027,0002
0.3102,Positive,9.370724799758165,interacts with,0.001,False,interacts with,c0136f74153f1adf7ea7091baa9525d8_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,c0136f74153f1adf7ea7091baa9525d8_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0028,0002
-0.1863,Negative,11.06314795712114,interacts with,0.027,False,interacts with,54693a9cf3c76c547dc9b56b6e9b266f_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,54693a9cf3c76c547dc9b56b6e9b266f_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0029,0002
0.3695,Positive,8.890535989684876,interacts with,0.001,False,interacts with,f26613069d47c75ba35ac6e391427f1d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,f26613069d47c75ba35ac6e391427f1d_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0030,0002
-0.1807,Negative,14.916678073996314,interacts with,0.028,False,interacts with,3c2ce1fb455f0c4db329115c9d355ab3_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,3c2ce1fb455f0c4db329115c9d355ab3_bacteria,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0031,0002
