"Identifier";"Year";"Country";"Site";"Compartment";"Run";"ReplicateNr";"YearTotal";"InfectionStatus";"IdentifierWOReplicateNr"
"DE_erg_inf_Endo_2015_1";"1";"DE";"erg";"endo";"J";"1";"2015";"inf";"DE_erg_inf_Endo_2015"
"DE_erg_inf_Endo_2015_2";"1";"DE";"erg";"endo";"L";"2";"2015";"inf";"DE_erg_inf_Endo_2015"
"DE_erg_inf_Endo_2015_3";"1";"DE";"erg";"endo";"O";"3";"2015";"inf";"DE_erg_inf_Endo_2015"
"DE_erg_inf_Endo_2016_1";"2";"DE";"erg";"endo";"M";"1";"2016";"inf";"DE_erg_inf_Endo_2016"
"DE_erg_inf_Endo_2016_2";"2";"DE";"erg";"endo";"N";"2";"2016";"inf";"DE_erg_inf_Endo_2016"
"DE_erg_inf_Endo_2016_3";"2";"DE";"erg";"endo";"O";"3";"2016";"inf";"DE_erg_inf_Endo_2016"
"DE_erg_inf_Wl_2015_1";"1";"DE";"erg";"wl";"D";"1";"2015";"inf";"DE_erg_inf_Wl_2015"
"DE_erg_inf_Wl_2015_2";"1";"DE";"erg";"wl";"D";"2";"2015";"inf";"DE_erg_inf_Wl_2015"
"DE_erg_inf_Wl_2015_3";"1";"DE";"erg";"wl";"D";"3";"2015";"inf";"DE_erg_inf_Wl_2015"
"DE_erg_inf_Wl_2016_1";"2";"DE";"erg";"wl";"E";"1";"2016";"inf";"DE_erg_inf_Wl_2016"
"DE_erg_inf_Wl_2016_2";"2";"DE";"erg";"wl";"E";"2";"2016";"inf";"DE_erg_inf_Wl_2016"
"DE_erg_inf_Wl_2016_3";"2";"DE";"erg";"wl";"E";"3";"2016";"inf";"DE_erg_inf_Wl_2016"
"DE_erg_uni_Endo_2015_1";"1";"DE";"erg";"endo";"O";"1";"2015";"uni";"DE_erg_uni_Endo_2015"
"DE_erg_uni_Endo_2015_2";"1";"DE";"erg";"endo";"O";"2";"2015";"uni";"DE_erg_uni_Endo_2015"
"DE_erg_uni_Endo_2015_3";"1";"DE";"erg";"endo";"O";"3";"2015";"uni";"DE_erg_uni_Endo_2015"
"DE_erg_uni_Endo_2016_1";"2";"DE";"erg";"endo";"K";"1";"2016";"uni";"DE_erg_uni_Endo_2016"
"DE_erg_uni_Endo_2016_2";"2";"DE";"erg";"endo";"K";"2";"2016";"uni";"DE_erg_uni_Endo_2016"
"DE_erg_uni_Endo_2016_3";"2";"DE";"erg";"endo";"M";"3";"2016";"uni";"DE_erg_uni_Endo_2016"
"DE_erg_uni_Endo_2017_1";"3";"DE";"erg";"endo";"G";"1";"2017";"uni";"DE_erg_uni_Endo_2017"
"DE_erg_uni_Endo_2017_2";"3";"DE";"erg";"endo";"G";"2";"2017";"uni";"DE_erg_uni_Endo_2017"
"DE_erg_uni_Endo_2017_3";"3";"DE";"erg";"endo";"G";"3";"2017";"uni";"DE_erg_uni_Endo_2017"
"DE_erg_uni_Wl_2015_1";"1";"DE";"erg";"wl";"E";"1";"2015";"uni";"DE_erg_uni_Wl_2015"
"DE_erg_uni_Wl_2015_2";"1";"DE";"erg";"wl";"E";"2";"2015";"uni";"DE_erg_uni_Wl_2015"
"DE_erg_uni_Wl_2015_3";"1";"DE";"erg";"wl";"E";"3";"2015";"uni";"DE_erg_uni_Wl_2015"
"DE_erg_uni_Wl_2016_1";"2";"DE";"erg";"wl";"E";"1";"2016";"uni";"DE_erg_uni_Wl_2016"
"DE_erg_uni_Wl_2016_2";"2";"DE";"erg";"wl";"E";"2";"2016";"uni";"DE_erg_uni_Wl_2016"
"DE_erg_uni_Wl_2016_3";"2";"DE";"erg";"wl";"E";"3";"2016";"uni";"DE_erg_uni_Wl_2016"
"DE_erg_uni_Wl_2017_1";"3";"DE";"erg";"wl";"G";"1";"2017";"uni";"DE_erg_uni_Wl_2017"
"DE_erg_uni_Wl_2017_2";"3";"DE";"erg";"wl";"G";"2";"2017";"uni";"DE_erg_uni_Wl_2017"
"DE_erg_uni_Wl_2017_3";"3";"DE";"erg";"wl";"G";"3";"2017";"uni";"DE_erg_uni_Wl_2017"
"DE_ey_inf_Endo_2015_1";"1";"DE";"ey";"endo";"I";"1";"2015";"inf";"DE_ey_inf_Endo_2015"
"DE_ey_inf_Endo_2015_2";"1";"DE";"ey";"endo";"L";"2";"2015";"inf";"DE_ey_inf_Endo_2015"
"DE_ey_inf_Endo_2015_3";"1";"DE";"ey";"endo";"L";"3";"2015";"inf";"DE_ey_inf_Endo_2015"
"DE_ey_inf_Endo_2016_1";"2";"DE";"ey";"endo";"H";"1";"2016";"inf";"DE_ey_inf_Endo_2016"
"DE_ey_inf_Endo_2016_2";"2";"DE";"ey";"endo";"I";"2";"2016";"inf";"DE_ey_inf_Endo_2016"
