Feature ID	Confidence	Domain	Phylum	Class	Order	Family	Genus	Species	Origin	Kingdom	Supergroup	Division	Subdivision
6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.9999065986940969	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas		SILVA				
c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.9147198165218949	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas_viridiflava	SILVA				
00fae520fc99f4b43a079be78714514a_bacteria	0.9998248488380357	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae			SILVA				
849f10aeb3f069b4300a0fa8bce6c3e2_bacteria	0.9998338054020965	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas		SILVA				
8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.9993816749145122	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae	 Methylobacterium-Methylorubrum		SILVA				
6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.986837527958648	Bacteria	 Actinobacteriota	 Actinobacteria	 Frankiales	 Nakamurellaceae	 Nakamurella	 uncultured_organism	SILVA				
871638cacece191a60d3f3fe9407c592_bacteria	0.9949169086030524	Bacteria	 Actinobacteriota	 Actinobacteria	 Frankiales	 Geodermatophilaceae	 Klenkia		SILVA				
c861b1ec2e390a9906dec7ee827ab766_bacteria	0.9999985439175473	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae			SILVA				
c0d147166492811472c866a83fd30a3c_bacteria	0.9989444454321389	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas		SILVA				
0a78918b318c9a666440b19941b2c94e_bacteria	0.7600018075291112	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Duganella		SILVA				
55e2f6614bc214f35d8745edeee16727_bacteria	0.9532392379964509	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium		SILVA				
cb84022e08e443cc8fa9b38700a29147_bacteria	0.8759654701739511	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Sphingomonas_qilianensis	SILVA				
5d0942009326032f72c94ca27dc2015d_bacteria	0.9896125528146594	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Massilia		SILVA				
61781934a20bd3368b0737d605f29468_bacteria	0.9871467683039143	Bacteria	 Actinobacteriota	 Actinobacteria	 Micrococcales	 Microbacteriaceae	 Rathayibacter		SILVA				
41e3305635db95437d26c71fbb3e9886_bacteria	0.7032207552463667	Bacteria	 Actinobacteriota	 Actinobacteria	 Micrococcales	 Microbacteriaceae	 Herbiconiux		SILVA				
ab16c4e2e7a7ffc9a83c0ce1a1036214_bacteria	0.7431558825892444	Bacteria	 Actinobacteriota	 Actinobacteria	 Kineosporiales	 Kineosporiaceae	 Quadrisphaera	 uncultured_bacterium	SILVA				
11d0b6aaf61245ed190220edb6779865_bacteria	0.9843061397939592	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Aureimonas		SILVA				
0c0605a3c4b75dfc31857a9167487df1_bacteria	0.9957598998850762	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Devosiaceae	 Devosia		SILVA				
5d45291972b34cd7f9c4cd55ca8a95ea_bacteria	0.8455206424950397	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xanthomonas		SILVA				
8f30e384c139db213863d282c952f846_bacteria	0.9057610117643806	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae	 Methylobacterium-Methylorubrum	 Methylobacterium_cerastii	SILVA				
ce137ed8545df0b63dad37dc52856df0_bacteria	0.7997684445536216	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Sphingomonas_glacialis	SILVA				
334a4708e1cedc4f04c44f0f47d2f29e_bacteria	0.9978970995022665	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Brevundimonas		SILVA				
943689dc4b1c713707c1520019c4e91d_bacteria	0.9995267145956864	Bacteria	 Actinobacteriota	 Actinobacteria	 Kineosporiales	 Kineosporiaceae	 Kineococcus		SILVA				
6cd28544fa5b5ddf1e3a1e8c7ba6d56b_bacteria	0.9945628197232491	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas		SILVA				
354d9ee59f35cadcc8d4c39bab8d1a16_bacteria	0.9917500979769639	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium		SILVA				
162bf54549080b290d1ec8b0e6afbc1b_bacteria	0.933739147226358	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae	 Rhizobacter		SILVA				
ef73a01e0e754fe7550333b49ad082b5_bacteria	0.9998536995557	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Morganellaceae	 Buchnera		SILVA				
d0c26a44a7a8b6ee4ba716861fc44da2_bacteria	0.9979885689256812	Bacteria	 Actinobacteriota	 Actinobacteria	 Propionibacteriales	 Nocardioidaceae	 Nocardioides		SILVA				
c4e15ee4c6a6debb8ef308d21e737e8e_bacteria	0.9453078834229729	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Tardiphaga		SILVA				
d48f4cda1feee6851d5bcf2d520066b9_bacteria	0.9868096613945866	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Methylophilaceae	 Methylotenera		SILVA				
